#,Reference,Qty,Value,Footprint,Part Number
1,C1,1,100n,Power_:CAPC2012X88N,C0805C104M5RAC7800
2,"C2, C8",2,15p,MCU_:CAP_0402C_AVX,KGM05ACG1H150JH
3,"C3, C4, C5, C6, C9, C10, C11, C12, C13, C14, C15, C17, C20, C31, C33, C34, C35, C36, C38, C42, C50, C51, C56, C64",24,2.2u,DRV8301_:CAPC1608X90N,EMK107BJ225KA-T
4,"C7, C28, C49, C55, C57, C58, C59",7,100n,MCU_:0603_AVX,CL05A104KA5NNNC
5,C16,1,6.8n,DRV8301_:CAP_C0805C-GEC-DG_KEM,C0805C682J5GEC7210
6,C18,1,120p,DRV8301_:CAP_0603G_AVX,81-GRM39C121J50
7,C19,1,22n,DRV8301_:CAPC10555_55N_KEM,C0402C223K5RECAUTO
8,"C21, C32, C60",3,100u,DRV8301_:CAP_TPS1210_3P5X2P8_AVX,TPSB107K006R0400
9,"C22, C52, C53, C54",4,15n,DRV8301_:CAPC340180_88N_KEM,C1206C153KARECAUTO
10,"C23, C24, C25",3,220n,DRV8301_:CAPC1608X90N,GRM188R71E224KA88D
12,"C26,C27, C37, C39, C40, C41, C43, C44",7,4.7u_100V,DRV8301_:CAPC3216X190N,GRM31CC72A475KE11K
13,"C29, C30, C45",3,1n,Power_:CAPC2012X88N,C0805C102J5HACAUTO
14,"C46, C47",2,680u_63V,Power_:CAPPRD500W80D1250H3500,EEU-FC1J681L
15,D1,1,BLUE,Root_:LED_LTST-C191KRKT_LTO,720-LBQ39GN1P1351
16,D2,1,RED,Root_:LED_LTST-C191KRKT_LTO,LTST-C191KRKT
17,D3,1,GREEN,Root_:LED_LTST-C191KGKT_LTO,LTST-C191KGKT
18,"D4, D7, D8, D9",4,D_Schottky,Root_:CFP3_SOD123W_NEX,"PMEG6020ER,115"
19,D5,1,TVS 5V,DRV8301_:DIOM4325X250N,SMAJ5.0A
20,D10,1,3.6V,Root_:SOD-882_TOS,"DF2S5M4CT,L3F"
21,L2,1,22u,DRV8301_:IND_BOURNS_SDR0805,SDR0805-220ML
22,P1,1,USB_OTG,Root_:CONN_S6B-PH-SM4-TBLFSN_JST,65100516121
23,P2,1,CAN,Root_:JST_B4B-PH-SM4-TB__LF__SN_,B4B-PH-SM4-TB
24,P4,1,HALL_ENC,Root_:CONN_S6B-PH-SM4-TBLFSN_JST,S6B-PH-SM4-TBLFSN
25,P5,1,COMM,Root_:JST_B8B-PH-SM4-TB_LF__SN_,B8B-PH-SM4-TB
26,P6,1,SERVO,Root_:CONN_B3B-PH-SM4-TB_JST,B3B-PH-SM4-TBT LFSN
27,P7,1,SWD,Root_:CONN5_4-TBLFSN_JST,B5B-PH-SM4-TBLFSN
33,"Q1, Q2, Q3, Q4, Q5, Q6",6,IRF7749,Power_:DIRECTFET_L8_INF,IRF7749L1TRPBF
34,Q7,1,DMN62D0UW-7,DRV8301_:SOT323_DMN62D0UV_DIO,DMN62D0UW-7
36,"R2, R3",2,22R,Root_:RESC3216X70N,RMCF1206FT22R0
37,"R5, R7, R35, R36, R37, R38",6,1k,Root_:RESC3216X70N,RMCF1206FT1K00
38,R6,1,100R,Root_:RES_RK73H2A_KOA,RK73H2ATTD1000F
39,"R8, R9, R23, R47",4,220R,Root_:RESC3216X75N,CR1206-FX-2200ELF
40,R10,1,3.3k,DRV8301_:RESC1608X55N,RK73H1JTTD3301F
41,R11,1,18k,DRV8301_:RESC1608X55N,RK73H1JTTD1802F
42,R12,1,15k,DRV8301_:RESC1608X55N,RK73H1JTTD1502F
43,"R13, R28, R39, R48",4,10k,DRV8301_:RESC1608X55N,RK73H1JTTD1002F
44,R14,1,220k,DRV8301_:RESC1608X55N,RK73H1JTTD2203F
45,"R15, R41",2,39k,DRV8301_:RESC1608X55N,ERJ-3EKF3902V
46,"R16, R18, R20, R22",4,2k2,DRV8301_:RESC1608X55N,660-RK73H1JTTD2201F
47,"R17, R19, R21",3,39k 60V,DRV8301_:RESC6332X70N,RMCF2512JT39K0
48,"R24, R29, R32",3,0.0005R,Power_:RES_WSLP2726L5000FEA,WSLP2726L5000FEA
49,"R25, R26, R30, R31, R33, R34",6,4.7R,DRV8301_:RESC1608X55N,RK73H1JTTD4R70F
50,R27,1,NTC 10K,DRV8301_:RESC1608X55N,ERT-JZEG103FA
51,R40,1,56k,DRV8301_:RESC1608X55N,RK73H1JTTD5602F
52,"R42, R43, R44",3,2k2,Root_:RESC2012X60N,RK73H2ATTD2201F
53,"R45, R46",2,1k PTC,DRV8301_:RESC1608X55N,TFPT0603L1001FV
54,U1,1,STM32F405RGTx,Package_QFP:LQFP-64_10x10mm_P0.5mm,STM32F405RGT6TR
55,U3,1,DRV8301DCA,DRV8301_:SOP50P810X120-57N,DRV8301DCA
56,U4,1,TJA1051TK-3,Package_DFN_QFN:DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,"TJA1051TK/3,118"
57,"U5, U6, U7",3,AD8418,Power_:SOP65P490X110-8N,AD8418ABRMZ-RL
58,U8,1,TC2117-3.3VEBTR,DRV8301_:TO254P1491X483-4N,TC2117-3.3VEBTR
59,U9,1,BMI160,Package_LGA:Bosch_LGA-14_3x2.5mm_P0.5mm,BMI160
60,"U10, U12, U13",3,MC74VHC1GT66,Power_:SC-88A_ONS,M74VHC1GT66DFT1G
61,U11,1,SENSOR_VOLTAGE,Root_:SW_PCM12SMTR,PCM12SMTR
62,"U14, U15, U16",3,MC74VHC1GT66DF1G,Power_:SC-88A_ONS,MC74VHC1GT66DF1G
63,Y1,1,8M,MCU_:XTAL_ABM3B-8.000MHZ-10-1-U-T,ABM3B-8.000MHZ-10-1-U-T
